routed_team,top_terms
Account Access,"authentication, authentication going, problem involves, locked, appear, appear locked, access, moment involves, locked involves, correct involves, help access, help verification, morning password, moment time, help involves"
Billing,"account involves, payment, incorrectly involves, failed involves, right involves, account related, need review, wrong involves, problem payment, invoice, review billing, help renewal, hi sure, payment failed, looks"
Orders & Delivery,"order arrived, tracking, tracking updated, updated involves, delay shipment, delay, shipment, update involves, arrived involves, arrived, shipment involves, dispatch involves, currently involves, help tracking, appears issue"
Product Inquiry,"question involves, works involves, setup involves, case involves, decision involves, help explain, explain, morning explain, options, works, help general, general product, product question, general, options involves"
Refunds & Returns,"return, refund, update refund, refund involves, order involves, steps involves, money resolved, need money, resolved involves, refnd, money, purchase involves, trying return, return purchase, morning item"
Technical Support,"keeps, working keeps, failing involves, failing time, export, breaking involves, complete, api, behaviour product, seeing unexpected, seeing, try, product involves, working, help app"
